"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","26-Mar-2020","26-Mar-2020","CE","17900","839.35","2269.6","712.55","1714.45","1720","19613.9","527","2026.58","139.92","6180","-3120","19613.9"
"BANKNIFTY","26-Mar-2020","26-Mar-2020","CE","18000","1239.35","2273.45","609","1602.2","1616.5","19613.9","29361","113898.61","8199.01","67600","-94280","19613.9"
"BANKNIFTY","26-Mar-2020","26-Mar-2020","CE","18100","696.5","2126.95","587","1500.9","1539.7","19613.9","1029","3987.02","262.04","7000","-3180","19613.9"
"BANKNIFTY","26-Mar-2020","26-Mar-2020","CE","18200","650","2042.35","526.7","1416.05","1594","19613.9","1528","5886.66","324.74","5240","-6820","19613.9"
"BANKNIFTY","26-Mar-2020","26-Mar-2020","CE","18300","785.05","1963.2","472.65","1301.25","1315","19613.9","2071","7964.53","384.67","5820","-3120","19613.9"
"BANKNIFTY","26-Mar-2020","26-Mar-2020","CE","18400","601.3","1880","429.9","1201.2","1220","19613.9","3566","13683.15","560.27","1960","-6880","19613.9"
"BANKNIFTY","26-Mar-2020","26-Mar-2020","CE","18500","599.15","1784.4","374.95","1091.8","1113.35","19613.9","47817","184912.7","7989.8","44120","-60400","19613.9"
"BANKNIFTY","26-Mar-2020","26-Mar-2020","CE","18600","479.9","1651.75","347.2","1004.55","963.75","19613.9","9376","36192.57","1313.85","5360","-13580","19613.9"
"BANKNIFTY","26-Mar-2020","26-Mar-2020","CE","18700","402.75","1570","303.9","895.4","929.45","19613.9","12822","49690.02","1735.74","6080","-18620","19613.9"
"BANKNIFTY","26-Mar-2020","26-Mar-2020","CE","18800","391.7","1480","270.4","799.85","813.55","19613.9","15270","59363.62","1948.42","6480","-4800","19613.9"
"BANKNIFTY","26-Mar-2020","26-Mar-2020","CE","18900","400","1356.15","240.85","676.35","620.2","19613.9","16860","65624.76","1893.96","2740","-10320","19613.9"
"BANKNIFTY","26-Mar-2020","26-Mar-2020","CE","19000","336.05","1329.1","201","594.45","615","19613.9","217258","849178.14","23597.74","52660","-195720","19613.9"
"BANKNIFTY","26-Mar-2020","26-Mar-2020","CE","19100","286.5","1206.75","165.55","493.95","515","19613.9","22282","87278.74","2161.5","4280","-2640","19613.9"
"BANKNIFTY","26-Mar-2020","26-Mar-2020","CE","19200","300.05","1101.35","118.25","391.55","413.4","19613.9","44024","172409.94","3357.78","6380","-7620","19613.9"
"BANKNIFTY","26-Mar-2020","26-Mar-2020","CE","19300","294.45","1010.6","100","289.9","313.85","19613.9","47012","184289.04","2822.72","7680","1420","19613.9"
"BANKNIFTY","26-Mar-2020","26-Mar-2020","CE","19400","200","960.15","77.3","196.75","216.05","19613.9","68498","268961.9","3189.66","16380","3020","19613.9"
"BANKNIFTY","26-Mar-2020","26-Mar-2020","CE","19500","199.95","887.6","52.7","106.35","116.1","19613.9","618256","2438609.01","27410.61","76700","-1900","19613.9"
"BANKNIFTY","26-Mar-2020","26-Mar-2020","CE","19600","199.95","805","5.2","26.05","16.05","19613.9","283893","1117592.77","4732.21","141080","133200","19613.9"
"BANKNIFTY","26-Mar-2020","26-Mar-2020","CE","19700","185","732","0.2","11.85","0.3","19613.9","264715","1047894.18","4917.08","138140","126460","19613.9"
"BANKNIFTY","26-Mar-2020","26-Mar-2020","CE","19800","129.85","660","0.05","7.1","0.15","19613.9","243332","968065.04","4470.32","116400","107640","19613.9"
"BANKNIFTY","26-Mar-2020","26-Mar-2020","CE","19900","114.6","592.8","0.05","4.35","0.05","19613.9","154375","617752.59","3340.09","52120","41280","19613.9"
"BANKNIFTY","26-Mar-2020","26-Mar-2020","CE","20000","110","523.7","0.05","2.55","0.05","19613.9","1262380","5085273.94","35753.94","435480","227160","19613.9"
"BANKNIFTY","26-Mar-2020","26-Mar-2020","CE","20100","120","467.65","0.05","1.55","0.05","19613.9","145549","588421.93","3314.95","67740","38860","19613.9"
"BANKNIFTY","26-Mar-2020","26-Mar-2020","CE","20200","96.4","410","0.05","1.1","0.6","19613.9","190673","774559.62","4240.7","83300","61200","19613.9"
"BANKNIFTY","26-Mar-2020","26-Mar-2020","CE","24300","2.45","7.5","0.05","0.25","0.2","19613.9","330","1603.94",".14","6700","700","19613.9"
"BANKNIFTY","26-Mar-2020","26-Mar-2020","CE","24400","2.55","6.7","0.05","0.1","0.05","19613.9","265","1293.3",".1","4880","440","19613.9"
