Date,Weekly Average Fare (USD),Brent Prices,CrudeOilInventory
3-Jan-22,$705,$79,1007
10-Jan-22,$675,$81,1006
17-Jan-22,$605,$86,1007
24-Jan-22,$599,$86,1004
31-Jan-22,$610,$91,997.9
7-Feb-22,$600,$93,996.34
14-Feb-22,$604,$96,998.41
21-Feb-22,$620,$95,993.44
28-Feb-22,$629,$101,989.06
7-Mar-22,$651,$123,991.42
14-Mar-22,$675,$107,984.72
21-Mar-22,$688,$116,978.27
28-Mar-22,$665,$112,976.95
4-Apr-22,$657,$108,982.43
11-Apr-22,$666,$98,969.71
18-Apr-22,$672,$113,967.49
25-Apr-22,$683,$102,965.71
2-May-22,$688,$108,967.21
9-May-22,$711,$106,958.8
16-May-22,$699,$114,951.81
23-May-22,$697,$113,941.32
30-May-22,$682,$122,936.08
6-Jun-22,$697,$120,930.33
13-Jun-22,$707,$122,923.15
20-Jun-22,$737,$114,913.43
27-Jun-22,$773,$115,915.83
,,,
,,,
,,,
,,,
,,,
,,,
